"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00041912","COLFAX, CA US","1960-05-08",,,"0.00","0.0","0.0","80","52","74"
"USC00041912","COLFAX, CA US","1960-05-09",,,"0.00","0.0","0.0","81","52","77"
"USC00041912","COLFAX, CA US","1960-05-10",,,"0.00","0.0","0.0","84","54","82"
"USC00041912","COLFAX, CA US","1960-05-11",,,"0.00","0.0","0.0","82","57","79"
"USC00041912","COLFAX, CA US","1960-05-12",,,"0.00","0.0","0.0","79","51","65"
"USC00041912","COLFAX, CA US","1960-05-13",,,"0.00","0.0","0.0","71","41","71"
"USC00041912","COLFAX, CA US","1960-05-14",,,"0.00","0.0","0.0","74","46","73"
"USC00041912","COLFAX, CA US","1960-05-15",,,"0.00","0.0","0.0","76","51","68"
"USC00041912","COLFAX, CA US","1960-05-16",,,"0.00","0.0","0.0","72","48","68"
"USC00041912","COLFAX, CA US","1960-05-17",,,"0.00","0.0","0.0","71","47","69"
"USC00041912","COLFAX, CA US","1960-05-18",,,"0.00","0.0","0.0","70","42","65"
"USC00041912","COLFAX, CA US","1960-05-19",,,"0.00","0.0","0.0","79","43","76"
"USC00041912","COLFAX, CA US","1960-05-20",,,"0.00","0.0","0.0","76","52","61"
"USC00041912","COLFAX, CA US","1960-05-21",,,"0.00","0.0","0.0","61","32","58"
"USC00041912","COLFAX, CA US","1960-05-22",,,"0.00","0.0","0.0","61","37","59"
"USC00041912","COLFAX, CA US","1960-05-23",,,"0.38","0.0","0.0","59","39","43"
"USC00041912","COLFAX, CA US","1960-05-24",,,"0.86","0.0","0.0","50","41","48"
"USC00041912","COLFAX, CA US","1960-05-25",,,"0.02","0.0","0.0","65","44","63"
"USC00041912","COLFAX, CA US","1960-05-26",,,"0.00","0.0","0.0","74","47","73"
"USC00041912","COLFAX, CA US","1960-05-27",,,"0.00","0.0","0.0","75","50","74"
"USC00041912","COLFAX, CA US","1960-05-28",,,"0.00","0.0","0.0","84","51","82"
"USC00041912","COLFAX, CA US","1960-05-29",,,"0.00","0.0","0.0","84","52","70"
"USC00041912","COLFAX, CA US","1960-05-30",,,"0.00","0.0","0.0","88","56","88"
"USC00041912","COLFAX, CA US","1960-05-31",,,"0.00","0.0","0.0","90","64","88"
"USC00041912","COLFAX, CA US","1960-06-01",,,"0.00","0.0","0.0","102","76","98"
"USC00041912","COLFAX, CA US","1960-06-02",,,"0.00","0.0","0.0","102","72","100"
"USC00041912","COLFAX, CA US","1960-06-03",,,"0.00","0.0","0.0","104","68","98"
"USC00041912","COLFAX, CA US","1960-06-04",,,"0.00","0.0","0.0","98","68","92"
"USC00041912","COLFAX, CA US","1960-06-05",,,"0.00","0.0","0.0","92","66","88"
"USC00041912","COLFAX, CA US","1960-06-06",,,"0.00","0.0","0.0","89","60","82"
"USC00041912","COLFAX, CA US","1960-06-07",,,"0.00","0.0","0.0","82","57","78"
"USC00041912","COLFAX, CA US","1960-06-08",,,"0.00","0.0","0.0","79","47","77"
"USC00041912","COLFAX, CA US","1960-06-09",,,"0.00","0.0","0.0","84","56","83"
"USC00041912","COLFAX, CA US","1960-06-10",,,"0.00","0.0","0.0","92","60","85"
"USC00041912","COLFAX, CA US","1960-06-11",,,"0.00","0.0","0.0","92","52","91"
"USC00041912","COLFAX, CA US","1960-06-12",,,"0.00","0.0","0.0","96","66","94"
"USC00041912","COLFAX, CA US","1960-06-13",,,"0.00","0.0","0.0","97","68","95"
"USC00041912","COLFAX, CA US","1960-06-14",,,"0.00","0.0","0.0","97","67","93"
"USC00041912","COLFAX, CA US","1960-06-15",,,"0.00","0.0","0.0","94","68","90"
"USC00041912","COLFAX, CA US","1960-06-16",,,"0.00","0.0","0.0","96","68","95"
"USC00041912","COLFAX, CA US","1960-06-17",,,"0.00","0.0","0.0","102","63","86"
"USC00041912","COLFAX, CA US","1960-06-18",,,"0.00","0.0","0.0","87","58","84"
"USC00041912","COLFAX, CA US","1960-06-19",,,"0.00","0.0","0.0","85","58","85"
"USC00041912","COLFAX, CA US","1960-06-20",,,"0.00","0.0","0.0","93","59","90"
"USC00041912","COLFAX, CA US","1960-06-21",,,"0.00","0.0","0.0","92","62","88"
"USC00041912","COLFAX, CA US","1960-06-22",,,"0.00","0.0","0.0","94","62","92"
"USC00041912","COLFAX, CA US","1960-06-23",,,"0.00","0.0","0.0","96","68","95"
"USC00041912","COLFAX, CA US","1960-06-24",,,"0.00","0.0","0.0","96","67","90"
"USC00041912","COLFAX, CA US","1960-06-25",,,"0.00","0.0","0.0","90","62","86"
"USC00041912","COLFAX, CA US","1960-06-26",,,"0.00","0.0","0.0","87","62","86"
"USC00041912","COLFAX, CA US","1960-06-27",,,"0.00","0.0","0.0","90","61","86"
"USC00041912","COLFAX, CA US","1960-06-28",,,"0.00","0.0","0.0","90","61","84"
"USC00041912","COLFAX, CA US","1960-06-29",,,"0.00","0.0","0.0","86","58","84"
"USC00041912","COLFAX, CA US","1960-06-30",,,"0.00","0.0","0.0","85","58","84"
"USC00041912","COLFAX, CA US","1960-07-01",,,"0.00","0.0","0.0","87","60","87"
"USC00041912","COLFAX, CA US","1960-07-02",,,"0.00","0.0","0.0","93","63","92"
"USC00041912","COLFAX, CA US","1960-07-03",,,"0.00","0.0","0.0","95","64","94"
"USC00041912","COLFAX, CA US","1960-07-04",,,"0.00","0.0","0.0","94","62","92"
"USC00041912","COLFAX, CA US","1960-07-05",,,"0.00","0.0","0.0","93","67","93"
"USC00041912","COLFAX, CA US","1960-07-06",,,"0.00","0.0","0.0","94","67","91"
"USC00041912","COLFAX, CA US","1960-07-07",,,"0.00","0.0","0.0","96","68","95"
"USC00041912","COLFAX, CA US","1960-07-08",,,"0.00","0.0","0.0","97","70","94"
"USC00041912","COLFAX, CA US","1960-07-09",,,"0.00","0.0","0.0","95","70","88"
"USC00041912","COLFAX, CA US","1960-07-10",,,"0.00","0.0","0.0","88","62","84"
"USC00041912","COLFAX, CA US","1960-07-11",,,"0.00","0.0","0.0","90","61","86"
"USC00041912","COLFAX, CA US","1960-07-12",,,"0.00","0.0","0.0","89","62","87"
"USC00041912","COLFAX, CA US","1960-07-13",,,"0.00","0.0","0.0","91","61","89"
"USC00041912","COLFAX, CA US","1960-07-14",,,"0.00","0.0","0.0","93","64","92"
"USC00041912","COLFAX, CA US","1960-07-15",,,"0.00","0.0","0.0","94","65","94"
"USC00041912","COLFAX, CA US","1960-07-16",,,"0.00","0.0","0.0","98","68","98"
"USC00041912","COLFAX, CA US","1960-07-17",,,"0.00","0.0","0.0","103","71","101"
"USC00041912","COLFAX, CA US","1960-07-18",,,"0.00","0.0","0.0","104","73","103"
"USC00041912","COLFAX, CA US","1960-07-19",,,"0.00","0.0","0.0","105","72","103"
"USC00041912","COLFAX, CA US","1960-07-20",,,"0.00","0.0","0.0","106","68","105"
"USC00041912","COLFAX, CA US","1960-07-21",,,"0.00","0.0","0.0","104","74","103"
"USC00041912","COLFAX, CA US","1960-07-22",,,"0.00","0.0","0.0","104","74","97"
"USC00041912","COLFAX, CA US","1960-07-23",,,"0.00","0.0","0.0","98","70","97"
"USC00041912","COLFAX, CA US","1960-07-24",,,"0.00","0.0","0.0","101","71","98"
"USC00041912","COLFAX, CA US","1960-07-25",,,"0.00","0.0","0.0","98","76","96"
"USC00041912","COLFAX, CA US","1960-07-26",,,"0.00","0.0","0.0","97","70","94"
"USC00041912","COLFAX, CA US","1960-07-27",,,"0.00","0.0","0.0","96","70","88"
"USC00041912","COLFAX, CA US","1960-07-28",,,"0.00","0.0","0.0","95","70","91"
"USC00041912","COLFAX, CA US","1960-07-29",,,"0.00","0.0","0.0","94","71","85"
"USC00041912","COLFAX, CA US","1960-07-30",,,"0.00","0.0","0.0","86","70","85"
"USC00041912","COLFAX, CA US","1960-07-31",,,"0.00","0.0","0.0",,,
"USC00041912","COLFAX, CA US","1960-08-01",,,"0.00","0.0","0.0","89","58","87"
"USC00041912","COLFAX, CA US","1960-08-02",,,"0.00","0.0","0.0","89","61","87"
"USC00041912","COLFAX, CA US","1960-08-03",,,"0.00","0.0","0.0","92","61","89"
"USC00041912","COLFAX, CA US","1960-08-04",,,"0.00","0.0","0.0","93","62","91"
"USC00041912","COLFAX, CA US","1960-08-05",,,"0.00","0.0","0.0","95","65","93"
"USC00041912","COLFAX, CA US","1960-08-06",,,"0.00","0.0","0.0","98","67","96"
"USC00041912","COLFAX, CA US","1960-08-07",,,"0.00","0.0","0.0","97","71","97"
"USC00041912","COLFAX, CA US","1960-08-08",,,"0.00","0.0","0.0","97","70","96"
"USC00041912","COLFAX, CA US","1960-08-09",,,"0.00","0.0","0.0","95","70","92"
"USC00041912","COLFAX, CA US","1960-08-10",,,"0.00","0.0","0.0","97","67","95"
"USC00041912","COLFAX, CA US","1960-08-11",,,"0.00","0.0","0.0","100","67","97"
"USC00041912","COLFAX, CA US","1960-08-12",,,"0.00","0.0","0.0",,,
"USC00041912","COLFAX, CA US","1960-08-13",,,"0.00","0.0","0.0","101","72","96"
"USC00041912","COLFAX, CA US","1960-08-14",,,"0.00","0.0","0.0","96","68","88"
"USC00041912","COLFAX, CA US","1960-08-15",,,"0.00","0.0","0.0","88","64","87"
"USC00041912","COLFAX, CA US","1960-08-16",,,"0.00","0.0","0.0","95","60","94"
"USC00041912","COLFAX, CA US","1960-08-17",,,"0.00","0.0","0.0","98","64","97"
"USC00041912","COLFAX, CA US","1960-08-18",,,"0.00","0.0","0.0","102","71","100"
"USC00041912","COLFAX, CA US","1960-08-19",,,"0.00","0.0","0.0","101","71","98"
"USC00041912","COLFAX, CA US","1960-08-20",,,"0.00","0.0","0.0","98","68","96"
"USC00041912","COLFAX, CA US","1960-08-21",,,"0.00","0.0","0.0","96","62","83"
"USC00041912","COLFAX, CA US","1960-08-22",,,"0.00","0.0","0.0","84","51","73"
"USC00041912","COLFAX, CA US","1960-08-23",,,"0.00","0.0","0.0","80","52","78"
"USC00041912","COLFAX, CA US","1960-08-24",,,"0.00","0.0","0.0","80","48","78"
"USC00041912","COLFAX, CA US","1960-08-25",,,"0.00","0.0","0.0","87","55","85"
"USC00041912","COLFAX, CA US","1960-08-26",,,"0.00","0.0","0.0","85","55","82"
"USC00041912","COLFAX, CA US","1960-08-27",,,"0.00","0.0","0.0","85","54","82"
"USC00041912","COLFAX, CA US","1960-08-28",,,"0.00","0.0","0.0","87","56","87"
"USC00041912","COLFAX, CA US","1960-08-29",,,"0.00","0.0","0.0","90","59","89"
"USC00041912","COLFAX, CA US","1960-08-30",,,"0.00","0.0","0.0","89","62","87"
"USC00041912","COLFAX, CA US","1960-08-31",,,"0.00","0.0","0.0","89","61","86"
"USC00041912","COLFAX, CA US","1960-09-01",,,"0.00","0.0","0.0","87","60","82"
"USC00041912","COLFAX, CA US","1960-09-02",,,"0.00","0.0","0.0","85","60","82"
"USC00041912","COLFAX, CA US","1960-09-03",,,"0.00","0.0","0.0","83","61","74"
"USC00041912","COLFAX, CA US","1960-09-04",,,"0.00","0.0","0.0","81","46","79"
"USC00041912","COLFAX, CA US","1960-09-05",,,"0.00","0.0","0.0","88","57","88"
"USC00041912","COLFAX, CA US","1960-09-06",,,"0.00","0.0","0.0","90","60","87"
"USC00041912","COLFAX, CA US","1960-09-07",,,"0.00","0.0","0.0","91","62","89"
"USC00041912","COLFAX, CA US","1960-09-08",,,"0.00","0.0","0.0","95","64","92"
"USC00041912","COLFAX, CA US","1960-09-09",,,"0.00","0.0","0.0","92","69","80"
"USC00041912","COLFAX, CA US","1960-09-10",,,"0.00","0.0","0.0","94","67","91"
"USC00041912","COLFAX, CA US","1960-09-11",,,"0.00","0.0","0.0","95","70","93"
"USC00041912","COLFAX, CA US","1960-09-12",,,"0.00","0.0","0.0","94","68","92"
"USC00041912","COLFAX, CA US","1960-09-13",,,"0.00","0.0","0.0","93","64","90"
"USC00041912","COLFAX, CA US","1960-09-14",,,"0.00","0.0","0.0","91","64","88"
"USC00041912","COLFAX, CA US","1960-09-15",,,"0.00","0.0","0.0","88","56","81"
"USC00041912","COLFAX, CA US","1960-09-16",,,"0.00","0.0","0.0","83","56","81"
"USC00041912","COLFAX, CA US","1960-09-17",,,"0.00","0.0","0.0","86","56","85"
"USC00041912","COLFAX, CA US","1960-09-18",,,"0.00","0.0","0.0","91","61","89"
"USC00041912","COLFAX, CA US","1960-09-19",,,"0.00","0.0","0.0","91","62","89"
"USC00041912","COLFAX, CA US","1960-09-20",,,"0.00","0.0","0.0","89","60","81"
"USC00041912","COLFAX, CA US","1960-09-21",,,"0.00","0.0","0.0","82","53","80"
"USC00041912","COLFAX, CA US","1960-09-22",,,"0.00","0.0","0.0","83","55","79"
