"DOWNLOAD DATE: 2021-12-07","","","","","",""
"","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates","Timezone","Location Type","",""
"Lake Oroville","CA","[-121.48383, 39.53784]","PT","Lake/Reservoir","",""
"#MODEL INFORMATION#","","","","","",""
"Model Run","Model Name","Model Run Description","Model Run Date Time","Attributes","",""
"CalSim II ROC on LTO COS","CalSim II","CalSim II Current Operations Study (COS) from the Reinitiation of Consulation on the Coordinated Long-Term Operations (ROC on LTO) of the Central Valley Project (CVP) and the State Water Project (SWP) Draft Environmental Impact Statement. The Current Operations Scenario represents CVP and SWP operations to comply with the ""current"" regulatory environment (as of December 27, 2017) under projected Year 2030 conditions.","2019-01-14 06:54:52","Model run assumptions are described in Section 3.1 of Appendix D of the ROC on LTO Draft EIS, available at https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=276781","",""
"#MODEL DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Lake Oroville","Lake/Reservoir Storage","2067.59","taf","monthly","instant","1994-03-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2025.96","taf","monthly","instant","1994-04-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1967.3","taf","monthly","instant","1994-05-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1668","taf","monthly","instant","1994-06-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1405.67","taf","monthly","instant","1994-07-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1224.19","taf","monthly","instant","1994-08-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1087.42","taf","monthly","instant","1994-09-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","959.537","taf","monthly","instant","1994-10-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","906.126","taf","monthly","instant","1994-11-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1020.85","taf","monthly","instant","1994-12-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2766.61","taf","monthly","instant","1995-01-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1995-02-28 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1995-03-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3208","taf","monthly","instant","1995-04-30 08:00:00"
